"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","Extracting some data from Response","SUCCESS","2022-06-21T21:25:31.561+01:00[Europe/London]","0.0","0.55"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-21T21:25:34.716+01:00[Europe/London]","0.0","0.05"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-21T21:25:34.763+01:00[Europe/London]","0.0","0.01"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-21T21:25:34.774+01:00[Europe/London]","0.0","0.05"
"Categories CRUD test","Delete the Category by ID","SUCCESS","2022-06-21T21:25:34.826+01:00[Europe/London]","0.0","0.16"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-21T21:25:35.015+01:00[Europe/London]","0.0","0.04"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-21T21:25:35.055+01:00[Europe/London]","0.0","0.02"
"Products CRUD test","Update the Product information","SUCCESS","2022-06-21T21:25:35.074+01:00[Europe/London]","0.0","0.04"
"Products CRUD test","Delete the Product by ID","SUCCESS","2022-06-21T21:25:35.113+01:00[Europe/London]","0.0","0.05"
"Utilities CRUD test","Get the version of Application","SUCCESS","2022-06-21T21:25:35.188+01:00[Europe/London]","0.0","0.01"
"Utilities CRUD test","Get the Health check of Application","SUCCESS","2022-06-21T21:25:35.203+01:00[Europe/London]","0.0","0.07"
